source_code,source_unit,target_unit,conversion_function
1621,"kPa","mm[Hg]","$this * 7.50062"
1527,"-","[pH]","$this"
1471,"mmol/l","mmol/L","$this"
10756,"mmol/l","mmol/L","$this"
10756,"mmol/L","mmol/L","$this"
1622,"kPa","mm[Hg]","$this * 7.50062"
1528,"-","[pH]","$this"
1399,"g/l","g/L","$this"
2542,"%","%","$this"
1731,"%","{INR}","$this"
4600,"umol/l","umol/L","$this"
1358,"-","%","$this"
1552,"g/l","g/dL","$this * 0.1"
1024,"U/l","U/L","$this"
4591,"U/l","U/L","$this"
4597,"U/l","U/L","$this"
10139,"mmol/l","mmol/L","$this"
2019,"mmol/l","mmol/L","$this"
4598,"mmol/l","mmol/L","$this"
10900,"mmol/l","mmol/L","$this"
2080,"mmol/l","mmol/L","$this"
10207,"mmol/l","mmol/L","$this"
1999,"mmol/l","mmol/L","$this"
10208,"mmol/l","mmol/L","$this"
3622,"mmol/l","mmol/L","$this"
10303,"mmol/l","mmol/L","$this"
3238,"E9/l","10*3/uL","$this"
6462,"ug/l","ug/L","$this"
2791,"E9/l","10*3/uL","$this"
4709,"ng/l","ng/L","$this"
10530,"%","%","$this"
11457,"%","%","$this"
4531,"ug/l","ng/mL","$this"
4531,"ng/l","ng/mL","$this * 0.001"
4573,"mmol/l","mmol/L","$this"
1623,"kPa","mm[Hg]","$this * 7.50062"
1624,"kPa","mm[Hg]","$this * 7.50062"
1531,"-","[pH]","$this"
1532,"-","[pH]","$this"
11456,"mmol/l","mmol/L","$this"
11456,"mmo/l","mmol/L","$this"
10087,"mmol/l","mmol/L","$this"
10086,"mmol/l","mmol/L","$this"
10088,"mmol/l","mmol/L","$this"
2218,"E9/l","10*3/uL","$this"