source_code,target_code,target_system,target_display,target_profile
tremor,26079004,http://snomed.info/sct,Tremor,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonTremorScore
dyskinesia,9748009,http://snomed.info/sct,Dyskinesia,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonDyskinesiaScore
wearing-off,427488005,http://snomed.info/sct,Wearing-Off,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonMotorSymptom
off-time,off-time,https://aiccelerate.eu/fhir/CodeSystem/parkinson-symptoms,Off-time,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonOffTimeScore
fluctuations,fluctuations,https://aiccelerate.eu/fhir/CodeSystem/parkinson-symptoms,Fluctuations,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonFluctuationsScore
freezing-of-gait,443544006,http://snomed.info/sct,Freezing of gait,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonFreezingOfGaitScore
postural-balance,416240000,http://snomed.info/sct,Postural balance,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonPosturalBalanceScore
bradykinesia,399317006,http://snomed.info/sct,Bradykinesia,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonBradykinesiaScore
stiffness-rigidity,271587009,http://snomed.info/sct,"Stiffness, rigidity",https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonStiffnessScore
dystonia,15802004,http://snomed.info/sct,Dystonia,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonDystoniaScore
mobility,102491009,http://snomed.info/sct,Immobility,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonMobilityScore
speech-disorder,363919002,http://snomed.info/sct,Quality of speech,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
sleep-disorder,248254009,http://snomed.info/sct,Quality of sleep,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
daytime-sleepiness,713567005,http://snomed.info/sct,Sleeps during day (Daytime sleepiness),https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
dizziness-fainting,404640003,http://snomed.info/sct,"Dizziness, fainting",https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
orthostatic-hypotension,28651003,http://snomed.info/sct,Orthostatic Hypotension,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonMotorSymptom
sweating,415690000,http://snomed.info/sct,Sweating,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
nocturia,139394000,http://snomed.info/sct,"Nocturia, pollacisuria",https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
nausea,422587007,http://snomed.info/sct,Nausea,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
constipation,14760008,http://snomed.info/sct,Constipation,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
pain,22253000,http://snomed.info/sct,Pain,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
motor-symptoms,267082004,http://snomed.info/sct,Motor Symptoms Score,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonMotorObservation
non-motor-symptoms,non-motor-symptoms,https://aiccelerate.eu/fhir/CodeSystem/parkinson-symptoms,Non Motor Symptoms Score,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
cognition,449888003,http://snomed.info/sct,Normal Cognition,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
psychiatric-symptoms,75864003,http://snomed.info/sct,Psychiatric symptoms,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
impulse-control-disorder,66347000,http://snomed.info/sct,Impulse control disorder,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
executive-function,736317001,http://snomed.info/sct,Impaired executive functioning,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
gambling,105523009,http://snomed.info/sct,Gambling,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
hallucination,7011001,http://snomed.info/sct,Hallucinations,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
impulsivity,39178003,http://snomed.info/sct,Emotional impulsivity,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
memory,386807006,http://snomed.info/sct,Memory impairment,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
visuospatial,304656009,http://snomed.info/sct,Unable to use visuospatial reasoning,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
verbal-fluency,289197000,http://snomed.info/sct,Lack of fluency in speech,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
attention,76039005,http://snomed.info/sct,Disturbance of attention,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
atrophy,278849000,http://snomed.info/sct,Cerebral atrophy,https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment
apathy,20602000,http://snomed.info/sct,"Apathy, indifference (finding)",https://aiccelerate.eu/fhir/StructureDefinition/AIC-ParkinsonNonMotorSymptomAssessment